id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
5313,71863,72245,,0,2011-03-28
5314,13129,72248,,0,2011-03-28
5315,72249,23903,,450000,2011-03-28
5316,56939,71564,cash,1800000,2005-08-08
5317,56939,71565,cash,16750000,2006-03-27
5318,56939,71615,cash,16000000,2008-11-12
5319,56939,71616,cash,9900000,2010-01-11
5320,56939,71617,cash,21000000,2010-03-11
5326,39451,72264,,0,2011-03-28
5327,28,21232,,0,2011-03-29
5328,60338,13730,,0,2011-03-29
5329,1916,72280,stock,3200000000,2011-03-29
5330,42502,72356,cash_and_stock,225000000,2011-03-29
5331,72364,72362,,0,2011-03-29
5332,72353,30221,,0,2011-03-29
5333,1972,2226,cash_and_stock,326000000,2011-03-30
5334,55658,48142,,0,2011-03-30
5335,31446,72453,,48000000,2011-03-30
